text,amount,date,label
AT&T #1157,135.92,17:32.5,Utilities
Shell,162.23,17:32.5,Transport
Verizon #4783,57.66,17:32.5,Utilities
Walgreens #6422,48.34,17:32.5,Health
Bakery #216,150.81,17:32.5,Groceries
McDonalds,38.54,17:32.5,Food & Drink
Trash Pickup,25.17,17:32.5,Utilities
Netflix Sub,196.43,17:32.5,Entertainment
Local Cafe,35.07,17:32.5,Food & Drink
Bakery,105.67,17:32.5,Groceries
Bookstore,162.33,17:32.5,Shopping
Steam #6761,81.56,17:32.5,Entertainment
AT&T,150.99,17:32.5,Utilities
Safeway,107.13,17:32.5,Groceries
Netflix Sub #8449,177.52,17:32.5,Entertainment
Upwork #8686,2238.66,17:32.5,Salary
Ticketmaster #6992,156.94,17:32.5,Entertainment
Bakery,55.89,17:32.5,Groceries
Direct Deposit #9096,2077.97,17:32.5,Salary
Concert #3370,158.49,17:32.5,Entertainment
Apple Store #6457,60.73,17:32.5,Shopping
Chipotle,37.99,17:32.5,Food & Drink
Hotel,84.17,17:32.5,Travel
Hotel #8243,81.7,17:32.5,Travel
Bowling,129.17,17:32.5,Entertainment
Property Mgmt,1227.18,17:32.5,Rent
Costco #3235,113.13,17:32.5,Groceries
Zara,108.01,17:32.5,Shopping
Target #941,152.09,17:32.5,Shopping
Hotel #2961,92.91,17:32.5,Travel
Payroll #2335,3722.06,17:32.5,Salary
Fruit Stand,196.06,17:32.5,Groceries
United #8366,132.96,17:32.5,Travel
Video Game,187.31,17:32.5,Entertainment
Upwork,2553.41,17:32.5,Salary
Bar XYZ #2366,5.36,17:32.5,Food & Drink
Pharmacy #7680,117.7,17:32.5,Shopping
Upwork,2752.83,17:32.5,Salary
Costco #5373,150.67,17:32.5,Groceries
United,82.75,17:32.5,Travel
Best Buy #9021,184.4,17:32.5,Shopping
Zara,162.21,17:32.5,Shopping
Parking,17.27,17:32.5,Transport
Direct Deposit,3826.41,17:32.5,Salary
Netflix Sub,108.81,17:32.5,Entertainment
Uber,26.53,17:32.5,Transport
Amazon #3609,125.12,17:32.5,Shopping
Safeway,11,17:32.5,Groceries
Planet Fitness,113.85,17:32.5,Health
Chipotle #9194,23.32,17:32.5,Food & Drink
Bookstore,65.3,17:32.5,Shopping
Netflix Sub #137,186.03,17:32.5,Entertainment
Expedia,48.29,17:32.5,Travel
Delta,106.69,17:32.5,Travel
Landlord #435,2559.38,17:32.5,Rent
Steam,89.34,17:32.5,Entertainment
Dentist,139.27,17:32.5,Health
Dunkin #5329,36.16,17:32.5,Food & Drink
Amtrak,122.58,17:32.5,Travel
PlayStation #2036,75.18,17:32.5,Entertainment
Sushi Place,15.12,17:32.5,Food & Drink
Landlord #1048,2583.15,17:32.5,Rent
Stripe Payout #4603,2369.69,17:32.5,Salary
Rent Payment #6833,2012.39,17:32.5,Rent
Nike #8983,193.44,17:32.5,Shopping
Best Buy,120.1,17:32.5,Shopping
Verizon #4030,101.69,17:32.5,Utilities
Hospital,164.63,17:32.5,Health
Employer Inc #4991,3429.37,17:32.5,Salary
Exxon #3488,144.78,17:32.5,Transport
Payroll #7137,3772.87,17:32.5,Salary
Car Rental,139.6,17:32.5,Travel
Gas Station #2612,13.84,17:32.5,Transport
Duty Free #2699,20.92,17:32.5,Travel
Dentist #8548,149.59,17:32.5,Health
Stripe Payout,4474.71,17:32.5,Salary
HOA Fees #2706,2171.02,17:32.5,Rent
Landlord,1435.18,17:32.5,Rent
Museum #9094,190.83,17:32.5,Entertainment
H&M,50.2,17:32.5,Shopping
Mortgage #273,1082.93,17:32.5,Rent
Dunkin,7.66,17:32.5,Food & Drink
Amazon,173.21,17:32.5,Shopping
Burger King,10.79,17:32.5,Food & Drink
Yoga Class #7150,157.41,17:32.5,Health
Employer Inc,3094.56,17:32.5,Salary
Dunkin #2506,10.42,17:32.5,Food & Drink
Spotify #2643,92.12,17:32.5,Utilities
Rent Payment #1968,2207.32,17:32.5,Rent
Rent Payment,1851.55,17:32.5,Rent
Amtrak #7691,55.64,17:32.5,Travel
Museum #5603,120.56,17:32.5,Entertainment
Bakery #3091,89.93,17:32.5,Groceries
Netflix,136.52,17:32.5,Utilities
Gas Station #3851,76,17:32.5,Transport
Pharmacy,29.23,17:32.5,Shopping
Nike #2070,159.53,17:32.5,Shopping
Planet Fitness,184.53,17:32.5,Health
Starbucks #7911,9.28,17:32.5,Food & Drink
Dunkin #4759,17.19,17:32.5,Food & Drink
Train Ticket #3329,19.19,17:32.5,Transport
Yoga Class,141.6,17:32.5,Health
Mortgage #7574,1644.45,17:32.5,Rent
Concert,135.92,17:32.5,Entertainment
Burger King #3389,27.04,17:32.5,Food & Drink
Kroger #9144,106.21,17:32.5,Groceries
H&M #5407,19.78,17:32.5,Shopping
AT&T,78.55,17:32.5,Utilities
Pizza Hut #2817,12.84,17:32.5,Food & Drink
Employer Inc #4677,4352.11,17:32.5,Salary
ConEd #8018,18.02,17:32.5,Utilities
Burger King #6523,16.76,17:32.5,Food & Drink
ConEd,32.04,17:32.5,Utilities
Vending Machine #3139,32.92,17:32.5,Food & Drink
Bowling,83.06,17:32.5,Entertainment
Video Game,196.38,17:32.5,Entertainment
Delta #2537,73.41,17:32.5,Travel
Train Ticket #9850,178.38,17:32.5,Transport
Vending Machine,49.06,17:32.5,Food & Drink
Target #3775,176.49,17:32.5,Shopping
Uber,100.73,17:32.5,Transport
McDonalds #1557,42.59,17:32.5,Food & Drink
Planet Fitness,195.47,17:32.5,Health
Rent Payment,1242.39,17:32.5,Rent
Payroll,4832.85,17:32.5,Salary
Spotify,152.85,17:32.5,Utilities
Dentist #3633,83.63,17:32.5,Health
Landlord #5116,2888.63,17:32.5,Rent
Netflix #7284,68.27,17:32.5,Utilities
Pharmacy #2197,141.82,17:32.5,Shopping
Verizon #8564,18.5,17:32.5,Utilities
Aldi #4129,178.88,17:32.5,Groceries
Bookstore #682,43.14,17:32.5,Shopping
Fruit Stand #8837,24.03,17:32.5,Groceries
AT&T,20.44,17:32.5,Utilities
HOA Fees,2817.71,17:32.5,Rent
Bowling,163.92,17:32.5,Entertainment
Ticketmaster,103.94,17:32.5,Entertainment
United #9187,148.83,17:32.5,Travel
Walgreens #8107,55.83,17:32.5,Health
Starbucks,16.84,17:32.5,Food & Drink
AT&T,43.42,17:32.5,Utilities
Dunkin,23.13,17:32.5,Food & Drink
Landlord,2494.6,17:32.5,Rent
Stripe Payout #1428,3881.9,17:32.5,Salary
Planet Fitness,191.55,17:32.5,Health
Car Rental,65.91,17:32.5,Travel
PlayStation #1147,126.26,17:32.5,Entertainment
Zara #9620,86.16,17:32.5,Shopping
Bus Fare #8429,48.38,17:32.5,Transport
Direct Deposit,4723.91,17:32.5,Salary
Booking.com,193.39,17:32.5,Travel
Expedia #359,94.2,17:32.5,Travel
Hospital,164.6,17:32.5,Health
Property Mgmt #7102,1068.95,17:32.5,Rent
Duty Free,62.3,17:32.5,Travel
Pharmacy #5721,118.84,17:32.5,Shopping
PlayStation #7996,193.35,17:32.5,Entertainment
Car Rental #2466,176.05,17:32.5,Travel
Safeway,190.05,17:32.5,Groceries
Stripe Payout,3922.79,17:32.5,Salary
Payroll #5070,2174.52,17:32.5,Salary
Amazon,45.14,17:32.5,Shopping
Upwork,3109.36,17:32.5,Salary
MTA Subway #3861,67.19,17:32.5,Transport
Kroger,186.06,17:32.5,Groceries
Direct Deposit,3529.22,17:32.5,Salary
H&M #9633,28.5,17:32.5,Shopping
Parking #3428,117.14,17:32.5,Transport
Dunkin,5.79,17:32.5,Food & Drink
Doctor Visit #9027,145.38,17:32.5,Health
United #3095,99.3,17:32.5,Travel
Stripe Payout #2583,3757.5,17:32.5,Salary
Safeway,112.87,17:32.5,Groceries
Aldi #3194,86.72,17:32.5,Groceries
Aldi,150.03,17:32.5,Groceries
Stripe Payout,4887.35,17:32.5,Salary
Bar XYZ #6195,40.27,17:32.5,Food & Drink
Employer Inc,3938.61,17:32.5,Salary
Booking.com,69.19,17:32.5,Travel
Aldi,195.99,17:32.5,Groceries
Netflix Sub,188.77,17:32.5,Entertainment
Employer Inc #4405,2483.86,17:32.5,Salary
Gas Station,103.47,17:32.5,Transport
Concert,185.7,17:32.5,Entertainment
Spotify,183.52,17:32.5,Utilities
Zara #285,190.03,17:32.5,Shopping
Kroger,70.71,17:32.5,Groceries
Bookstore #2464,57.99,17:32.5,Shopping
AT&T,184.37,17:32.5,Utilities
Chipotle #4366,16.53,17:32.5,Food & Drink
Payroll,3379.48,17:32.5,Salary
Duty Free #3326,152.03,17:32.5,Travel
Whole Foods #3647,56.51,17:32.5,Groceries
Spotify,104.9,17:32.5,Utilities
Walgreens,115.73,17:32.5,Health
Video Game,73.67,17:32.5,Entertainment
Trash Pickup,94.99,17:32.5,Utilities
Chipotle #187,25.72,17:32.5,Food & Drink
Walmart #2304,52,17:32.5,Shopping
Payroll,4177.51,17:32.5,Salary
Amazon #2148,113.2,17:32.5,Shopping
Kroger #3593,155.2,17:32.5,Groceries
Resort #7166,93.02,17:32.5,Travel
Netflix #6976,50.95,17:32.5,Utilities
Apple Store,39.63,17:32.5,Shopping
Starbucks,17.89,17:32.5,Food & Drink
Delta,29.97,17:32.5,Travel
Safeway #8231,49.22,17:32.5,Groceries
H&M #6093,91.31,17:32.5,Shopping
Rent Payment #1702,2371.32,17:32.5,Rent
Planet Fitness,145.17,17:32.5,Health
ConEd #7619,85.37,17:32.5,Utilities
Steam #6563,51.38,17:32.5,Entertainment
Vitamin Shop #8196,163.35,17:32.5,Health
Water Bill,31.11,17:32.5,Utilities
Nike #8604,119.68,17:32.5,Shopping
Lyft,76.26,17:32.5,Transport
Bakery #6377,61.45,17:32.5,Groceries
Trash Pickup,52.49,17:32.5,Utilities
Duty Free,194.7,17:32.5,Travel
Whole Foods #409,138.07,17:32.5,Groceries
Amazon #6374,184.91,17:32.5,Shopping
Video Game,83.26,17:32.5,Entertainment
Stripe Payout #1712,3042.84,17:32.5,Salary
Rent Payment,1813.24,17:32.5,Rent
Zara #6604,134.22,17:32.5,Shopping
Water Bill,28.95,17:32.5,Utilities
Duty Free,21.55,17:32.5,Travel
MTA Subway,110.43,17:32.5,Transport
Costco,53.09,17:32.5,Groceries
Concert,52.65,17:32.5,Entertainment
Employer Inc #1453,4468.61,17:32.5,Salary
Costco,109,17:32.5,Groceries
Expedia #1464,64.45,17:32.5,Travel
MTA Subway,196.05,17:32.5,Transport
Sushi Place,40.95,17:32.5,Food & Drink
Aldi #7682,20.13,17:32.5,Groceries
Walmart #2227,180.94,17:32.5,Shopping
Duty Free,135.32,17:32.5,Travel
Vitamin Shop #5566,147.14,17:32.5,Health
Nike,47.29,17:32.5,Shopping
United #3528,189.01,17:32.5,Travel
Airbnb,63.18,17:32.5,Travel
Zara #5052,144.53,17:32.5,Shopping
Whole Foods,61.94,17:32.5,Groceries
Netflix #4891,163.93,17:32.5,Utilities
Parking,107.33,17:32.5,Transport
Hospital,73.18,17:32.5,Health
Concert #7664,88.99,17:32.5,Entertainment
Bakery,97.5,17:32.5,Groceries
Netflix,147.64,17:32.5,Utilities
Rent Payment,1499.33,17:32.5,Rent
Vending Machine,43.94,17:32.5,Food & Drink
CVS #8392,83.42,17:32.5,Health
Payroll,2240.38,17:32.5,Salary
Steam,100.92,17:32.5,Entertainment
Employer Inc,2603.48,17:32.5,Salary
Direct Deposit #7833,2973.63,17:32.5,Salary
Zara,30.67,17:32.5,Shopping
Landlord,2153.41,17:32.5,Rent
Lyft,154.96,17:32.5,Transport
Employer Inc #333,3212.25,17:32.5,Salary
Trash Pickup #5738,88.27,17:32.5,Utilities
PlayStation,167.26,17:32.5,Entertainment
Vitamin Shop #9879,198.77,17:32.5,Health
Direct Deposit #8885,4137.31,17:32.5,Salary
Apple Store #9548,158.09,17:32.5,Shopping
Safeway,20.84,17:32.5,Groceries
Bakery #8600,117.8,17:32.5,Groceries
Mortgage,2765.76,17:32.5,Rent
AMC Theaters,81.05,17:32.5,Entertainment
Bookstore #2405,31.29,17:32.5,Shopping
Burger King,31.84,17:32.5,Food & Drink
Payroll #5042,4184.26,17:32.5,Salary
Delta #8496,10.57,17:32.5,Travel
Mortgage,1140.43,17:32.5,Rent
Delta #2900,71.92,17:32.5,Travel
Whole Foods #2276,83.98,17:32.5,Groceries
AT&T #3541,26.85,17:32.5,Utilities
Apple Store #6599,32.54,17:32.5,Shopping
Landlord,2306.78,17:32.5,Rent
Lime Scooter,184.93,17:32.5,Transport
Apple Store #6409,50.42,17:32.5,Shopping
Pharmacy Co-pay #2655,139.05,17:32.5,Health
Delta #9413,58.66,17:32.5,Travel
Kroger,119.4,17:32.5,Groceries
Best Buy,117.78,17:32.5,Shopping
Planet Fitness #6858,109.87,17:32.5,Health
Duty Free #5126,135.13,17:32.5,Travel
Parking #1614,198.96,17:32.5,Transport
Zara #1186,104.81,17:32.5,Shopping
Upwork,2782.36,17:32.5,Salary
HOA Fees,1956.91,17:32.5,Rent
Landlord,2173.86,17:32.5,Rent
Doctor Visit #5302,102.98,17:32.5,Health
Uber,55.55,17:32.5,Transport
Water Bill #7350,199.81,17:32.5,Utilities
Lyft,167.02,17:32.5,Transport
Dentist,63.18,17:32.5,Health
Shell #7464,75.26,17:32.5,Transport
Concert #9737,81.63,17:32.5,Entertainment
Costco #3127,43.68,17:32.5,Groceries
Steam #997,13.11,17:32.5,Entertainment
Ticketmaster #5909,21.35,17:32.5,Entertainment
Pharmacy,49.1,17:32.5,Shopping
Apple Store #1352,76.19,17:32.5,Shopping
Local Cafe,42.95,17:32.5,Food & Drink
Lyft,93.63,17:32.5,Transport
Vitamin Shop #6088,89.64,17:32.5,Health
Ticketmaster #5908,49.46,17:32.5,Entertainment
Spotify #7330,47.64,17:32.5,Utilities
Payroll #6740,4079,17:32.5,Salary
Butcher,141.52,17:32.5,Groceries
Aldi #1744,84.68,17:32.5,Groceries
HOA Fees #2846,2117.15,17:32.5,Rent
Employer Inc #8968,2946.52,17:32.5,Salary
Lyft #8489,79.44,17:32.5,Transport
Bar XYZ #5752,21.38,17:32.5,Food & Drink
Hotel #8215,112.13,17:32.5,Travel
Chipotle #2110,29.91,17:32.5,Food & Drink
Dentist #1637,155.08,17:32.5,Health
Local Cafe #518,30.82,17:32.5,Food & Drink
Hulu #274,141.44,17:32.5,Utilities
Rent Payment #9236,1509.91,17:32.5,Rent
Spotify,152.53,17:32.5,Utilities
Bakery,157.23,17:32.5,Groceries
Lime Scooter #4616,117.35,17:32.5,Transport
Netflix #8128,94.53,17:32.5,Utilities
Expedia #133,191.28,17:32.5,Travel
Upwork,3215.14,17:32.5,Salary
Vending Machine,20.62,17:32.5,Food & Drink
Vending Machine #4564,40.46,17:32.5,Food & Drink
H&M,56.33,17:32.5,Shopping
Aldi #6352,85.14,17:32.5,Groceries
United,30.46,17:32.5,Travel
Exxon #2530,88.55,17:32.5,Transport
Employer Inc,4148.79,17:32.5,Salary
Nike #8560,78.04,17:32.5,Shopping
Airbnb #8217,120.83,17:32.5,Travel
Yoga Class #6218,96.17,17:32.5,Health
Aldi,79.96,17:32.5,Groceries
McDonalds #4515,48.31,17:32.5,Food & Drink
Concert,23.09,17:32.5,Entertainment
Burger King #6121,17.39,17:32.5,Food & Drink
HOA Fees #5332,1016.57,17:32.5,Rent
MTA Subway,16.66,17:32.5,Transport
Pharmacy Co-pay #465,29.49,17:32.5,Health
Whole Foods,105.42,17:32.5,Groceries
Zara,149.83,17:32.5,Shopping
CVS,158.35,17:32.5,Health
Bowling #5114,170.09,17:32.5,Entertainment
Fruit Stand,126.94,17:32.5,Groceries
Dentist,71.02,17:32.5,Health
Zara #1645,197.74,17:32.5,Shopping
Dunkin #3595,12.08,17:32.5,Food & Drink
ConEd #9725,187.53,17:32.5,Utilities
Spotify #4478,130.53,17:32.5,Utilities
Doctor Visit,119.49,17:32.5,Health
Amtrak #3928,182.16,17:32.5,Travel
Verizon,177.46,17:32.5,Utilities
Upwork,4031.88,17:32.5,Salary
Bowling #6652,131.56,17:32.5,Entertainment
Aldi,142.78,17:32.5,Groceries
Hotel #7162,54.2,17:32.5,Travel
Netflix,131.4,17:32.5,Utilities
Local Market,154.36,17:32.5,Groceries
Bar XYZ #541,48.33,17:32.5,Food & Drink
Dunkin #7379,18.07,17:32.5,Food & Drink
Stripe Payout,3979.16,17:32.5,Salary
Stripe Payout,3057.08,17:32.5,Salary
Lyft #4369,85.34,17:32.5,Transport
Walgreens,17.94,17:32.5,Health
Direct Deposit,2086.93,17:32.5,Salary
McDonalds #1640,33.12,17:32.5,Food & Drink
Airbnb #9369,129.63,17:32.5,Travel
Trader Joes #9560,50,17:32.5,Groceries
Property Mgmt #4940,1912.25,17:32.5,Rent
Costco,70.81,17:32.5,Groceries
Netflix,145.73,17:32.5,Utilities
Delta #2520,170.17,17:32.5,Travel
Vitamin Shop,65.49,17:32.5,Health
Shell,48.75,17:32.5,Transport
Shell,107.86,17:32.5,Transport
Nike #4796,31.51,17:32.5,Shopping
Planet Fitness #8605,41.14,17:32.5,Health
Pharmacy #6337,136.29,17:32.5,Shopping
Gas Station #6225,66.68,17:32.5,Transport
Upwork #7649,4605.13,17:32.5,Salary
Landlord #5196,1818.77,17:32.5,Rent
Gas Station,33.05,17:32.5,Transport
Costco,132.61,17:32.5,Groceries
Local Cafe #137,47.56,17:32.5,Food & Drink
Walgreens #8513,33.46,17:32.5,Health
Pharmacy Co-pay #489,135.53,17:32.5,Health
Uber #7569,144.97,17:32.5,Transport
Netflix Sub,119.6,17:32.5,Entertainment
Hospital,198.5,17:32.5,Health
CVS #1820,102.5,17:32.5,Health
Best Buy #7877,59.46,17:32.5,Shopping
Electric Co #3504,165.36,17:32.5,Utilities
Ticketmaster,16.37,17:32.5,Entertainment
Resort,52.26,17:32.5,Travel
Electric Co #3092,55.8,17:32.5,Utilities
Vending Machine,31.61,17:32.5,Food & Drink
Internet Bill #4431,54.66,17:32.5,Utilities
Vending Machine,13.09,17:32.5,Food & Drink
Local Market #2787,34.37,17:32.5,Groceries
Amazon #3311,147.58,17:32.5,Shopping
Pharmacy Co-pay #4784,23.07,17:32.5,Health
Water Bill #8224,143.74,17:32.5,Utilities
Local Market,126.03,17:32.5,Groceries
Booking.com,114.89,17:32.5,Travel
Spotify Premium #6852,77.31,17:32.5,Entertainment
Museum #3798,67.99,17:32.5,Entertainment
Mortgage,2388.39,17:32.5,Rent
Direct Deposit #1690,2349.44,17:32.5,Salary
Rent Payment,1544.81,17:32.5,Rent
Video Game #7527,75.62,17:32.5,Entertainment
Netflix #5932,97.5,17:32.5,Utilities
Netflix Sub,85.05,17:32.5,Entertainment
Spotify,182.6,17:32.5,Utilities
HOA Fees #7289,2795.41,17:32.5,Rent
HOA Fees #3717,1617.3,17:32.5,Rent
Pharmacy Co-pay,181.24,17:32.5,Health
Landlord,1998.23,17:32.5,Rent
Property Mgmt #8421,1223.13,17:32.5,Rent
Chipotle #6869,20.35,17:32.5,Food & Drink
Verizon #6258,46.82,17:32.5,Utilities
Aldi,115.13,17:32.5,Groceries
AMC Theaters #5425,140.8,17:32.5,Entertainment
Butcher #1054,70.27,17:32.5,Groceries
Bar XYZ #4562,36.28,17:32.5,Food & Drink
Water Bill #3641,45.45,17:32.5,Utilities
Rent Payment #9985,2001.79,17:32.5,Rent
Trader Joes #7179,111.43,17:32.5,Groceries
Stripe Payout,2133.5,17:32.5,Salary
Dunkin #8163,37.83,17:32.5,Food & Drink
Direct Deposit #8982,2573.16,17:32.5,Salary
McDonalds,42.97,17:32.5,Food & Drink
Property Mgmt,2701.72,17:32.5,Rent
Local Cafe #7666,20.09,17:32.5,Food & Drink
Employer Inc,3283.11,17:32.5,Salary
Museum,183.33,17:32.5,Entertainment
Dunkin #493,39.17,17:32.5,Food & Drink
Local Cafe #2027,21.31,17:32.5,Food & Drink
Direct Deposit,4218.63,17:32.5,Salary
Costco #7527,104.96,17:32.5,Groceries
Exxon,175.2,17:32.5,Transport
Sushi Place,39.2,17:32.5,Food & Drink
Property Mgmt #6630,1185.31,17:32.5,Rent
Walmart #2566,19.1,17:32.5,Shopping
Car Rental,81.57,17:32.5,Travel
Payroll,3439.64,17:32.5,Salary
Electric Co #7342,172.69,17:32.5,Utilities
Netflix Sub #5096,63.81,17:32.5,Entertainment
AMC Theaters,127.04,17:32.5,Entertainment
Dunkin #2899,31.1,17:32.5,Food & Drink
Water Bill,115.35,17:32.5,Utilities
Costco #1380,91.15,17:32.5,Groceries
Train Ticket,165.91,17:32.5,Transport
Hospital #8878,118.94,17:32.5,Health
Pharmacy Co-pay #544,197.81,17:32.5,Health
Walgreens,88.87,17:32.5,Health
CVS #1150,162.77,17:32.5,Health
Dunkin,6,17:32.5,Food & Drink
Concert,61.02,17:32.5,Entertainment
Employer Inc,4091.53,17:32.5,Salary
Safeway #4921,75.97,17:32.5,Groceries
Direct Deposit,3030.95,17:32.5,Salary
Bakery,44.64,17:32.5,Groceries
Bus Fare,86.64,17:32.5,Transport
Internet Bill #6417,172.18,17:32.5,Utilities
Concert #3514,124.6,17:32.5,Entertainment
Payroll,3316.19,17:32.5,Salary
Walgreens,196.45,17:32.5,Health
Nike #3310,118.88,17:32.5,Shopping
Gas Station #1743,97.77,17:32.5,Transport
Nike,147.04,17:32.5,Shopping
Bakery #8250,132.23,17:32.5,Groceries
Lyft,88.31,17:32.5,Transport
Property Mgmt #4131,2521.49,17:32.5,Rent
Concert #8775,106.28,17:32.5,Entertainment
Steam,14.72,17:32.5,Entertainment
MTA Subway,25.6,17:32.5,Transport
Vending Machine #2165,49.64,17:32.5,Food & Drink
Zara #3238,96.03,17:32.5,Shopping
Upwork #5349,3046.08,17:32.5,Salary
United #7490,55.68,17:32.5,Travel
Hospital #8791,24.09,17:32.5,Health
Parking,48.92,17:32.5,Transport
Bookstore,116.43,17:32.5,Shopping
Local Market #972,70.74,17:32.5,Groceries
AT&T #2439,24.09,17:32.5,Utilities
Property Mgmt,2095.95,17:32.5,Rent
Water Bill #3514,186.01,17:32.5,Utilities
AT&T #5585,166.93,17:32.5,Utilities
Netflix,125.36,17:32.5,Utilities
Concert,157.47,17:32.5,Entertainment
Dunkin,28.83,17:32.5,Food & Drink
Chipotle #5158,34.8,17:32.5,Food & Drink
Bus Fare,33.31,17:32.5,Transport
Direct Deposit #3604,2659.97,17:32.5,Salary
Hospital,33.1,17:32.5,Health
Upwork #9207,3284.87,17:32.5,Salary
Payroll,4417.99,17:32.5,Salary
Property Mgmt,2842.92,17:32.5,Rent
Water Bill,98.6,17:32.5,Utilities
Water Bill #771,137.72,17:32.5,Utilities
Car Rental #9533,151.65,17:32.5,Travel
Vitamin Shop,179.18,17:32.5,Health
Fruit Stand #1140,196.11,17:32.5,Groceries
Video Game,73.93,17:32.5,Entertainment
Steam,91.57,17:32.5,Entertainment
Direct Deposit #223,4620.91,17:32.5,Salary
Pizza Hut,23.62,17:32.5,Food & Drink
Bakery,151.6,17:32.5,Groceries
Nike,35.62,17:32.5,Shopping
Butcher,55.35,17:32.5,Groceries
Dunkin,13.53,17:32.5,Food & Drink
PlayStation #7166,23.46,17:32.5,Entertainment
Direct Deposit #7023,4334.86,17:32.5,Salary
Verizon,143.37,17:32.5,Utilities
Electric Co,101.51,17:32.5,Utilities
Costco #8547,82.74,17:32.5,Groceries
Expedia,190.62,17:32.5,Travel
Video Game,62.64,17:32.5,Entertainment
Whole Foods,122.32,17:32.5,Groceries
Doctor Visit,157.42,17:32.5,Health
Bar XYZ #1056,25.73,17:32.5,Food & Drink
Delta #9367,109.38,17:32.5,Travel
United #2331,84.48,17:32.5,Travel
Kroger,94.28,17:32.5,Groceries
Doctor Visit #9655,185.99,17:32.5,Health
Employer Inc #5280,2976.47,17:32.5,Salary
Doctor Visit,41.33,17:32.5,Health
Yoga Class,122.28,17:32.5,Health
PlayStation,35.55,17:32.5,Entertainment
Vitamin Shop #392,181.65,17:32.5,Health
Rent Payment,2358,17:32.5,Rent
Local Cafe #1256,25.56,17:32.5,Food & Drink
Vitamin Shop,74.22,17:32.5,Health
Exxon,103.58,17:32.5,Transport
Doctor Visit,172.48,17:32.5,Health
ConEd #8202,148.05,17:32.5,Utilities
Water Bill,39.3,17:32.5,Utilities
Duty Free,21.71,17:32.5,Travel
Concert #9206,149.57,17:32.5,Entertainment
Upwork,4795.54,17:32.5,Salary
Doctor Visit,196.91,17:32.5,Health
Booking.com #9772,188.11,17:32.5,Travel
Local Cafe #5948,41.49,17:32.5,Food & Drink
Walmart #9595,137.87,17:32.5,Shopping
Best Buy,39.6,17:32.5,Shopping
Bakery #2151,75.61,17:32.5,Groceries
United #9832,145.46,17:32.5,Travel
Uber,59.38,17:32.5,Transport
Rent Payment #5371,1370.62,17:32.5,Rent
Vitamin Shop #1378,162.32,17:32.5,Health
Stripe Payout,4698.66,17:32.5,Salary
Verizon #1582,11.68,17:32.5,Utilities
MTA Subway #2997,63.7,17:32.5,Transport
Upwork #1404,4474.72,17:32.5,Salary
Bookstore,80.66,17:32.5,Shopping
Landlord,1331.53,17:32.5,Rent
AT&T #1648,13.04,17:32.5,Utilities
Booking.com,27.68,17:32.5,Travel
Hotel,114.77,17:32.5,Travel
Resort #7997,96.96,17:32.5,Travel
Target #349,128.95,17:32.5,Shopping
Rent Payment #9860,2198.21,17:32.5,Rent
Stripe Payout #336,3223.93,17:32.5,Salary
Dentist #7969,118.92,17:32.5,Health
Employer Inc #1659,4609.06,17:32.5,Salary
Hospital #6883,198.14,17:32.5,Health
Netflix Sub,81.86,17:32.5,Entertainment
Water Bill,26.93,17:32.5,Utilities
Rent Payment #5790,2854.51,17:32.5,Rent
Airbnb #3786,88.24,17:32.5,Travel
Uber,169.78,17:32.5,Transport
Employer Inc,2640.05,17:32.5,Salary
Amtrak #4064,179.78,17:32.5,Travel
Stripe Payout,2490.67,17:32.5,Salary
Amtrak,10.51,17:32.5,Travel
Resort #2221,126.12,17:32.5,Travel
Target,104.41,17:32.5,Shopping
Concert #9364,121.38,17:32.5,Entertainment
Bowling #1727,45.74,17:32.5,Entertainment
Spotify Premium #2747,167.73,17:32.5,Entertainment
Costco #4825,126.98,17:32.5,Groceries
Water Bill #5728,179.94,17:32.5,Utilities
HOA Fees #9309,1238.87,17:32.5,Rent
Netflix #8379,151.93,17:32.5,Utilities
Expedia,22.37,17:32.5,Travel
Burger King #4063,28.7,17:32.5,Food & Drink
Mortgage #8742,2276.45,17:32.5,Rent
Netflix Sub #9858,89.06,17:32.5,Entertainment
Car Rental,71.02,17:32.5,Travel
Best Buy,73.41,17:32.5,Shopping
Mortgage #1166,1681.44,17:32.5,Rent
Bowling,86.07,17:32.5,Entertainment
Car Rental,126.14,17:32.5,Travel
Hotel,68.66,17:32.5,Travel
Dentist #9177,19.48,17:32.5,Health
Zara,195.32,17:32.5,Shopping
Fruit Stand,188.77,17:32.5,Groceries
Local Cafe,47,17:32.5,Food & Drink
HOA Fees #2287,1148.06,17:32.5,Rent
Vitamin Shop,14.81,17:32.5,Health
Landlord,1935.19,17:32.5,Rent
Car Rental #9163,177.84,17:32.5,Travel
Spotify Premium,180.77,17:32.5,Entertainment
Target,53.49,17:32.5,Shopping
Bus Fare,126.75,17:32.5,Transport
Direct Deposit #681,3219.92,17:32.5,Salary
Best Buy #9593,153.64,17:32.5,Shopping
Property Mgmt #3415,2844.32,17:32.5,Rent
Netflix Sub #894,37.77,17:32.5,Entertainment
Property Mgmt,1450.14,17:32.5,Rent
Ticketmaster #5901,135.98,17:32.5,Entertainment
Landlord,1628.26,17:32.5,Rent
Property Mgmt,1899.76,17:32.5,Rent
Vitamin Shop #7567,191.95,17:32.5,Health
Airbnb,179.13,17:32.5,Travel
Upwork,2748.83,17:32.5,Salary
Zara,175.09,17:32.5,Shopping
MTA Subway,178.65,17:32.5,Transport
